name,code,number
United States of America,USA,5271
Australia,AUS,11362
India,IND,451
New Zealand,NZL,357
Portugal,PRT,221
Sweden,SWE,596
Spain,ESP,1448
Germany,DEU,3523
France,FRA,2166
United Kingdom,GBR,3351
Chile,CHL,1459
Netherlands,NLD,1700
Canada,CAN,1520
Switzerland,CHE,618
Thailand,THA,23
Italy,ITA,1824
Japan,JPN,927
Morocco,MAR,5
Romania,ROU,49
South Africa,ZAF,926
Slovenia,SVN,123
Denmark,DNK,669
Belgium,BEL,463
Finland,FIN,212
Israel,ISR,243
Austria,AUT,410
Poland,POL,444
Algeria,DZA,11
Greece,GRC,145
Ireland,IRL,215
Brazil,BRA,471
Czech Republic,CZE,135
China,CHN,684
Hungary,HUN,232
Mexico,MEX,495
Taiwan,TWN,151
Hong Kong,HKG,69
Iceland,ISL,17
Armenia,ARM,93
Namibia,NAM,89
Norway,NOR,57
Georgia,GEO,112
Turkey,TUR,63
Argentina,ARG,137
Estonia,EST,16
Kazakhstan,KAZ,5
Saudi Arabia,SAU,87
Ukraine,UKR,72
Jersey,JEY,51
United Arab Emirates,ARE,17
Bulgaria,BGR,17
Cyprus,CYP,11
Serbia,SRB,24
Puerto Rico,PRI,17
Croatia,HRV,79
Colombia,COL,19
Malta,MLT,6
Uzbekistan,UZB,15
Réunion,REU,2
Uruguay,URY,1
Lebanon,LBN,6
Lithuania,LTU,27
Qatar,QAT,35
Kuwait,KWT,7
Russian Federation,RUS,5
French Polynesia,PYF,10
Singapore,SGP,6
Chad,TCD,2
Montenegro,MNE,1
Botswana,BWA,1
Nepal,NPL,1
Ecuador,ECU,1
Malaysia,MYS,6
Zambia,ZMB,3
Zimbabwe,ZWE,1
Indonesia,IDN,3
Egypt,EGY,12
Nigeria,NGA,2
Cuba,CUB,5
Viet Nam,VNM,2
Slovakia,SVK,7
Burkina Faso,BFA,2
Ethiopia,ETH,2
Antarctica,ATA,2
Andorra,AND,1
Tajikistan,TJK,1
Greenland,GRL,6
Iraq,IRQ,4
Holy See,VAT,1
Sudan,SDN,1
Peru,PER,1
Uganda,UGA,2
Pakistan,PAK,1
Philippines,PHL,1
Barbados,BRB,2
San Marino,SMR,1
Latvia,LVA,1
Jordan,JOR,1
